,best_threshold,best_profit_ration,best_profit,0.0_precision,0.0_recall,0.0_f1-score,0.0_support,1.0_precision,1.0_recall,1.0_f1-score,1.0_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.225,0.5,248,0.9507692307692308,0.8853868194842407,0.9169139465875371,349,0.5348837209302325,0.7419354838709677,0.6216216216216216,62,0.8637469586374696,0.8637469586374696,0.8637469586374696,411,0.7428264758497316,0.8136611516776042,0.7692677841045794,411,0.8880322438835426,0.8637469586374696,0.8723686323591021,411,0.7419354838709677,0.5348837209302325,0.6216216216216216,xgboost,,0.8868656992328311
0,0.5,0.3407258064516129,169,0.9085872576177285,0.9398280802292264,0.9239436619718309,349,0.58,0.46774193548387094,0.5178571428571428,62,0.8686131386861314,0.8686131386861314,0.8686131386861314,411,0.7442936288088642,0.7037850078565486,0.7209004024144868,411,0.8590193501425479,0.8686131386861314,0.8626848683340921,411,0.46774193548387094,0.58,0.5178571428571428,adaboost,,0.8698123671318976
0,0.225,0.3165322580645161,157,0.9132947976878613,0.9054441260744985,0.9093525179856116,349,0.49230769230769234,0.5161290322580645,0.5039370078740157,62,0.8467153284671532,0.8467153284671532,0.8467153284671532,411,0.7028012449977767,0.7107865791662815,0.7066447629298136,411,0.8497882270465705,0.8467153284671532,0.8481949471171957,411,0.5161290322580645,0.49230769230769234,0.5039370078740157,gradientboost,,0.7791154450503743
0,0.30000000000000004,0.41330645161290325,205,0.9361702127659575,0.8825214899713467,0.9085545722713865,349,0.5,0.6612903225806451,0.5694444444444445,62,0.8491484184914841,0.8491484184914841,0.8491484184914841,411,0.7180851063829787,0.7719059062759959,0.7389995083579155,411,0.8703732463633069,0.8491484184914841,0.8573992731831374,411,0.6612903225806451,0.5,0.5694444444444445,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8648211479804048
0,0.025,0.27040816326530615,106,0.8856209150326797,0.9926739926739927,0.9360967184801381,273,0.875,0.2857142857142857,0.4307692307692308,49,0.8850931677018633,0.8850931677018633,0.8850931677018633,322,0.8803104575163399,0.6391941391941391,0.6834329746246844,322,0.8840046888320545,0.8850931677018633,0.8591990573067392,322,0.2857142857142857,0.875,0.4307692307692308,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.01}",0.8629737609329446
0,0.42500000000000004,0.24489795918367346,96,0.8989169675090253,0.9120879120879121,0.9054545454545454,273,0.4666666666666667,0.42857142857142855,0.44680851063829785,49,0.8385093167701864,0.8385093167701864,0.8385093167701864,322,0.682791817087846,0.6703296703296703,0.6761315280464216,322,0.8331397478156229,0.8385093167701864,0.8356605836346818,322,0.42857142857142855,0.4666666666666667,0.44680851063829785,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.8031322419077521
0,0.9750000000000001,0.25510204081632654,100,0.8971631205673759,0.9267399267399268,0.9117117117117118,273,0.5,0.40816326530612246,0.449438202247191,49,0.8478260869565217,0.8478260869565217,0.8478260869565218,322,0.698581560283688,0.6674515960230246,0.6805749569794515,322,0.8367252543940795,0.8478260869565217,0.8413657428801543,322,0.40816326530612246,0.5,0.449438202247191,naive_bayes,{'nb__alpha': 0},0.7698288106451372
0,0.25,0.5612244897959183,220,0.95703125,0.8974358974358975,0.9262759924385634,273,0.5757575757575758,0.7755102040816326,0.6608695652173914,49,0.8788819875776398,0.8788819875776398,0.8788819875776398,322,0.7663944128787878,0.836473050758765,0.7935727788279774,322,0.8990113430500658,0.8788819875776398,0.8858880578614284,322,0.7755102040816326,0.5757575757575758,0.6608695652173914,logistic_regression,"{'lr__C': 1438.44988828766, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.9033415564027808
0,0.275,0.45408163265306123,178,0.9356060606060606,0.9047619047619048,0.9199255121042831,273,0.5517241379310345,0.6530612244897959,0.5981308411214952,49,0.8664596273291926,0.8664596273291926,0.8664596273291926,322,0.7436650992685475,0.7789115646258503,0.7590281766128891,322,0.8771892462859479,0.8664596273291926,0.8709567578242936,322,0.6530612244897959,0.5517241379310345,0.5981308411214952,xtree,"{'xtree__criterion': 'gini', 'xtree__min_samples_leaf': 3, 'xtree__min_samples_split': 2}",0.8658518352395903
0,0.17500000000000002,0.4897959183673469,192,0.9588477366255144,0.8534798534798534,0.9031007751937984,273,0.4936708860759494,0.7959183673469388,0.609375,49,0.84472049689441,0.84472049689441,0.84472049689441,322,0.7262593113507319,0.824699110413396,0.7562378875968991,322,0.8880599550201458,0.84472049689441,0.858403374620829,322,0.7959183673469388,0.4936708860759494,0.609375,xgboost,,0.8946699558944458
