,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_profit_ration,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,,,,,0.9093701996927804,0.9548387096774194,0.8680351906158358,341.0,,,,,0.5986394557823128,0.4943820224719101,0.7586206896551724,58.0,0.9037819799777531,217,0.4676724137931034,0.17500000000000002,0.5986394557823128,0.7540048277375466,0.7246103660746648,0.813327940135504,399,0.8521303258145363,0.8521303258145363,0.8521303258145363,399,xgboost,,0.4943820224719101,0.7586206896551724,0.8642013196255947,0.8879051561487991,0.8521303258145363,399
0,,,,,0.9374999999999999,0.9090909090909091,0.967741935483871,341.0,,,,,0.5319148936170212,0.6944444444444444,0.43103448275862066,58.0,0.8669734047932046,167,0.3599137931034483,0.5,0.5319148936170212,0.7347074468085105,0.8017676767676767,0.6993882091212458,399,0.8897243107769424,0.8897243107769424,0.8897243107769424,399,adaboost,,0.6944444444444444,0.43103448275862066,0.8785427664906946,0.8778891673628516,0.8897243107769424,399
0,,,,,0.927038626609442,0.9050279329608939,0.9501466275659824,341.0,,,,,0.48484848484848475,0.5853658536585366,0.41379310344827586,58.0,0.7961371220548084,141,0.30387931034482757,0.25,0.48484848484848475,0.7059435557289634,0.7451968933097153,0.6819698655071291,399,0.8721804511278195,0.8721804511278195,0.8721804511278195,399,gradientboost,,0.5853658536585366,0.41379310344827586,0.8627603603885511,0.858560763538496,0.8721804511278195,399
0,,,,,0.9341142020497804,0.9327485380116959,0.9354838709677419,341.0,,,,,0.608695652173913,0.6140350877192983,0.603448275862069,58.0,0.8565577914854889,214,0.46120689655172414,0.4,0.608695652173913,0.7714049271118466,0.7733918128654971,0.7694660734149055,399,0.8872180451127819,0.8872180451127819,0.8872180451127819,399,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.6140350877192983,0.603448275862069,0.8868102524437644,0.8864192645356079,0.8872180451127819,399
0,0.9382716049382717,0.8837209302325582,1.0,38.0,,,,,0.0,0.0,0.0,5.0,,,,,0.7105263157894737,0,0.0,0.025,0.0,0.46913580246913583,0.4418604651162791,0.5,43,0.8837209302325582,0.8837209302325582,0.8837209302325582,43,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.8291702555268448,0.7809626825310979,0.8837209302325582,43
0,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0,,,,,0.6,0.6,0.6,5.0,,,,,0.9052631578947369,18,0.45,0.6000000000000001,0.6,0.7736842105263158,0.7736842105263158,0.7736842105263158,43,0.9069767441860465,0.9069767441860465,0.9069767441860465,43,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 6, 'dt__max_features': 7, 'dt__min_samples_split': 30}",0.6,0.6,0.9069767441860465,0.9069767441860465,0.9069767441860465,43
0,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0,,,,,0.6,0.6,0.6,5.0,,,,,0.8368421052631578,18,0.45,0.9500000000000001,0.6,0.7736842105263158,0.7736842105263158,0.7736842105263158,43,0.9069767441860465,0.9069767441860465,0.9069767441860465,43,naive_bayes,{'nb__alpha': 0},0.6,0.6,0.9069767441860465,0.9069767441860465,0.9069767441860465,43
0,0.9166666666666667,0.9705882352941176,0.868421052631579,38.0,,,,,0.5714285714285714,0.4444444444444444,0.8,5.0,,,,,0.8842105263157896,17,0.425,0.2,0.5714285714285714,0.7440476190476191,0.707516339869281,0.8342105263157895,43,0.8604651162790697,0.8604651162790697,0.8604651162790697,43,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.4444444444444444,0.8,0.8765227021040974,0.9094087247302022,0.8604651162790697,43
0,0.9014084507042254,0.9696969696969697,0.8421052631578947,38.0,,,,,0.5333333333333333,0.4,0.8,5.0,,,,,0.8789473684210527,14,0.35,0.15000000000000002,0.5333333333333333,0.7173708920187793,0.6848484848484848,0.8210526315789474,43,0.8372093023255814,0.8372093023255814,0.8372093023255814,43,xgboost,,0.4,0.8,0.858609018451796,0.9034531360112756,0.8372093023255814,43
0,0.9333333333333332,0.9459459459459459,0.9210526315789473,38.0,,,,,0.5454545454545454,0.5,0.6,5.0,,,,,0.8421052631578947,15,0.375,0.47500000000000003,0.5454545454545454,0.7393939393939393,0.722972972972973,0.7605263157894737,43,0.8837209302325582,0.8837209302325582,0.8837209302325582,43,adaboost,,0.5,0.6,0.8882311486962648,0.8940917661847894,0.8837209302325582,43
0,0.9610389610389611,0.9487179487179487,0.9736842105263158,38.0,,,,,0.6666666666666665,0.75,0.6,5.0,,,,,0.8368421052631579,21,0.525,0.25,0.6666666666666665,0.8138528138528138,0.8493589743589743,0.7868421052631579,43,0.9302325581395349,0.9302325581395349,0.9302325581395349,43,gradientboost,,0.75,0.6,0.9268096244840432,0.9256112104949314,0.9302325581395349,43
0,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0,,,,,0.8000000000000002,0.8,0.8,5.0,,,,,0.9157894736842105,29,0.725,0.47500000000000003,0.8000000000000002,0.886842105263158,0.8868421052631579,0.8868421052631579,43,0.9534883720930233,0.9534883720930233,0.9534883720930233,43,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8,0.8,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
0,0.963855421686747,0.9302325581395349,1.0,40.0,,,,,0.0,0.0,0.0,3.0,,,,,0.925,0,0.0,0.025,0.0,0.4819277108433735,0.46511627906976744,0.5,43,0.9302325581395349,0.9302325581395349,0.9302325581395349,43,grid_search_MLP,"{'mlpc__hidden_layer_sizes': 3, 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.8966096945923226,0.8653326122228232,0.9302325581395349,43
0,0.9487179487179489,0.9736842105263158,0.925,40.0,,,,,0.5,0.4,0.6666666666666666,3.0,,,,,0.7166666666666666,7,0.2916666666666667,0.47500000000000003,0.5,0.7243589743589745,0.6868421052631579,0.7958333333333334,43,0.9069767441860465,0.9069767441860465,0.9069767441860465,43,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 6, 'dt__max_features': 7, 'dt__min_samples_split': 30}",0.4,0.6666666666666666,0.9174120453190222,0.9336597307221542,0.9069767441860465,43
0,0.9473684210526316,1.0,0.9,40.0,,,,,0.6,0.42857142857142855,1.0,3.0,,,,,0.9666666666666667,12,0.5,0.925,0.6,0.7736842105263158,0.7142857142857143,0.95,43,0.9069767441860465,0.9069767441860465,0.9069767441860465,43,naive_bayes,{'nb__alpha': 0},0.42857142857142855,1.0,0.9231334149326805,0.9601328903654485,0.9069767441860465,43
0,0.975,0.975,0.975,40.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,,,,,0.9083333333333333,13,0.5416666666666666,0.55,0.6666666666666666,0.8208333333333333,0.8208333333333333,0.8208333333333333,43,0.9534883720930233,0.9534883720930233,0.9534883720930233,43,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6666666666666666,0.6666666666666666,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
0,0.963855421686747,0.9302325581395349,1.0,40.0,,,,,0.0,0.0,0.0,3.0,,,,,0.8500000000000001,0,0.0,0.775,0.0,0.4819277108433735,0.46511627906976744,0.5,43,0.9302325581395349,0.9302325581395349,0.9302325581395349,43,xgboost,,0.0,0.0,0.8966096945923226,0.8653326122228232,0.9302325581395349,43
0,0.963855421686747,0.9302325581395349,1.0,40.0,,,,,0.0,0.0,0.0,3.0,,,,,0.3833333333333333,0,0.0,0.525,0.0,0.4819277108433735,0.46511627906976744,0.5,43,0.9302325581395349,0.9302325581395349,0.9302325581395349,43,adaboost,,0.0,0.0,0.8966096945923226,0.8653326122228232,0.9302325581395349,43
0,0.975,0.975,0.975,40.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,,,,,0.8666666666666667,13,0.5416666666666666,0.325,0.6666666666666666,0.8208333333333333,0.8208333333333333,0.8208333333333333,43,0.9534883720930233,0.9534883720930233,0.9534883720930233,43,gradientboost,,0.6666666666666666,0.6666666666666666,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
0,0.975,0.975,0.975,40.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,,,,,0.9333333333333333,13,0.5416666666666666,0.525,0.6666666666666666,0.8208333333333333,0.8208333333333333,0.8208333333333333,43,0.9534883720930233,0.9534883720930233,0.9534883720930233,43,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.6666666666666666,0.6666666666666666,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
