,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.4885797468674172,0.0,0.0,0.0,0.54,0.0,0.0
0,decision_tree,0.4927161554495706,0.0,0.0,0.0,0.45,0.0,0.0
0,naive_bayes,0.5113276441388035,0.0,0.0,0.0,0.51,0.0,0.0
0,logistic_regression,0.5,0.0,0.0,0.0,0.525,0.0,0.0
0,gp,0.48673126120565036,0.0,0.0,0.0,0.52,0.0,0.0
0,xtree,0.5031622501866841,0.0,0.0,0.0,0.34,0.0,0.0
0,xgboost,0.4994211914207936,0.0,0.0,0.0,0.21000000000000005,0.0,0.0
0,adaboost,0.5144562817159045,0.0,0.0,0.0,0.36000000000000004,0.0,0.0
0,gradientboost,0.4994211914207936,0.0,0.0,0.0,0.41,0.0,0.0
0,ensemble,0.4964250687665799,0.0,0.0,0.0,0.5000000000000001,0.0,0.0
