,model,auroc,precision,recall,f1_score,best_threshold,best_profit_ratio,best_profit
0,grid_search_MLP,0.5862192242530155,0.07291666666666667,0.07526881720430108,0.07407407407407407,0.5583333333333332,0.038978494623655914,19.333333333333332
0,xgboost,0.4901297105830806,0.0,0.0,0.0,0.4083333333333334,0.0,0.0
0,adaboost,0.4968957263419021,0.0,0.0,0.0,0.4208333333333334,0.0,0.0
0,gradientboost,0.5002772896889861,0.0,0.0,0.0,0.46666666666666673,0.0,0.0
0,ensemble,0.5610656837104222,0.1388888888888889,0.04032258064516129,0.06250000000000001,0.4833333333333334,0.037298387096774195,18.5
0,decision_tree,0.49870967741935485,0.0,0.0,0.0,0.23999999999999994,0.0,0.0
0,naive_bayes,0.5010388150309245,0.0,0.0,0.0,0.52,0.0,0.0
0,logistic_regression,0.5,0.0,0.0,0.0,0.525,0.0,0.0
0,gp,0.5246929871507665,0.0,0.0,0.0,0.495,0.0,0.0
0,xtree,0.5373142170924222,0.0,0.0,0.0,0.25000000000000006,0.0,0.0
