ID,Year_Birth,Income,Kidhome,Teenhome,num_days_customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Edu_Basic,Edu_Graduation,Edu_Master,Edu_PhD,mar_status_Married,mar_status_Single,mar_status_Together,mar_status_Widow
3667,0.5178571428571459,0.7716194638204891,0.0,0.0,0.6952789699570814,0.20202020202020204,0.521098459477562,0.8944723618090452,0.7023445463812437,0.15830115830115832,0.13636363636363638,0.17670682730923692,0.07692307692307693,0.7272727272727273,0.4545454545454546,0.8181818181818181,0.8,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3081,0.6785714285714306,0.352067400621901,0.5,0.0,0.6194563662374821,0.6565656565656566,0.004688546550569324,0.010050251256281407,0.006116207951070337,0.007722007722007722,0.0,0.012048192771084336,0.07692307692307693,0.09090909090909091,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2406,0.1607142857142847,0.49469493234725603,0.0,0.5,0.46924177396280387,0.6363636363636365,0.25184192900200936,0.020100502512562814,0.09582059123343528,0.04633204633204634,0.045454545454545456,0.09638554216867469,0.23076923076923078,0.5454545454545454,0.18181818181818182,0.5454545454545454,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11112,0.4642857142857153,0.6640579040255483,0.0,0.5,0.8197424892703862,0.23232323232323235,0.492967180174146,0.5728643216080402,0.28440366972477066,0.31660231660231664,0.38383838383838387,0.7630522088353413,0.46153846153846156,0.4545454545454546,0.5454545454545454,0.5454545454545454,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
113,0.1964285714285765,0.2451151357256912,0.5,0.5,0.49785407725321873,0.33333333333333337,0.007367716008037508,0.0,0.007135575942915393,0.011583011583011584,0.005050505050505051,0.024096385542168672,0.15384615384615385,0.09090909090909091,0.0,0.09090909090909088,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3179,0.7142857142857153,0.7799079754601227,0.0,0.0,0.540772532188841,0.7575757575757577,0.1667782987273945,0.7688442211055276,0.9582059123343528,0.22393822393822393,0.6767676767676768,0.15261044176706826,0.0,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4220,0.5357142857142847,0.550382385074376,0.0,0.5,0.3419170243204577,0.26262626262626265,0.04889484259879437,0.0,0.01325178389398573,0.0,0.005050505050505051,0.0,0.07692307692307693,0.18181818181818182,0.09090909090909091,0.09090909090909088,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6983,0.1785714285714306,0.32097235061769896,0.5,0.5,0.0844062947067239,0.24242424242424243,0.015405224380442062,0.010050251256281407,0.017329255861365956,0.007722007722007722,0.005050505050505051,0.0,0.15384615384615385,0.18181818181818182,0.0,0.09090909090909088,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2625,0.25,0.36880200016808135,0.0,0.5,0.32045779685264675,0.30303030303030304,0.10448760884125921,0.1457286432160804,0.057084607543323146,0.11583011583011583,0.16161616161616163,0.18875502008032127,0.15384615384615385,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
453,0.2857142857142847,0.29246155139087315,0.5,0.5,0.0,0.010101010101010102,0.01808439383791025,0.0,0.012232415902140675,0.0,0.005050505050505051,0.020080321285140562,0.15384615384615385,0.18181818181818182,0.0,0.09090909090909088,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
